Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
Rua Aquiramum,Alto de Pinheiros,São Paulo,560,4,4,4,4500000,-23.5518991,-46.7003582
Rua Grumete Sandoval Santos,Morumbi,São Paulo,414,4,3,4,1490000,-23.6064813,-46.7144744
Rua Carangola,Jardim Guedala,São Paulo,800,4,6,8,6100000,-21.169547,-48.9713943
,Parque Continental,São Paulo,300,4,2,3,1200000,-23.5445527,-46.7582103
Rua Comandante Ismael Guilherme,Jardim Luzitânia,São Paulo,731,4,8,4,8000000,-23.5945148,-46.6592638
,Jardim Leonor,São Paulo,594,4,4,7,2820000,-23.6087105,-46.9300813
Praça Silveira Santos,Alto de Pinheiros,São Paulo,570,4,7,9,3290000,-23.5596594,-46.70647741736723
Rua Gibraltar,Santo Amaro,São Paulo,120,2,1,1,579000,-23.648163,-46.7157863
Rua Ituiutaba,Ipiranga,São Paulo,168,4,2,2,1290000,-23.1778792,-45.8502305
Rua Cássio Martins Vilaça,Pacaembu,São Paulo,287,4,7,4,3000000,-23.550384,-46.6708018
,Jardim Guedala,São Paulo,542,4,4,6,2250000,-23.5873828,-46.71764795766417
Rua Janaúba,Jardim Panorama D'Oeste,São Paulo,369,4,4,4,4350000,-23.2378081,-45.88627
Alameda Uapixana,Indianópolis,São Paulo,380,4,4,9,2820000,-23.614508,-46.6573799
,Jardim Europa,São Paulo,660,3,7,8,14000000,-22.7252877,-47.3629074
Rua Manuel de Góis,Jardim Guedala,São Paulo,460,5,4,3,1800000,-23.5846767,-46.7004095
Rua Groenlândia,Jardim América,São Paulo,700,5,3,5,7500000,-23.5785612,-46.6687933
Rua Comendador Bichara Moherdauí,Jardim Leonor,São Paulo,635,5,8,4,3800000,-23.5953182,-46.7109273
Rua Açaraí,Jardim Guedala,São Paulo,689,6,4,8,4200000,-23.5828994,-46.7084438
Rua Boytac,Cidade Jardim,São Paulo,550,4,3,6,5300000,-23.5962037,-46.704055
Rua Doutor Carlos Norberto de Souza Aranha,Alto de Pinheiros,São Paulo,760,6,4,6,8500000,-23.5506722,-46.7049555
Rua Manduri,Jardim Paulistano,São Paulo,350,3,5,4,5800000,-22.9299635,-47.0926326
Rua Luiz Galhanone,Jardim Viana,São Paulo,300,4,4,3,2597000,,
Rua Joaquim Cândido de Azevedo Marques,Vila Morumbi,São Paulo,495,4,6,4,2100000,-23.6131182,-46.7091076
Rua José de Freitas Guimarães,Pacaembu,São Paulo,400,3,4,4,2200000,-23.5439516,-46.6720029
Rua Luiz Galhanone,Jardim Viana,São Paulo,780,4,4,6,5000000,,
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,São Paulo,291,3,4,3,3900000,-23.5520036,-46.7081836
"Rua Doutor Fausto de Almeida Prado Penteado, 302 ",Jardim Sílvia (Zona Oeste),São Paulo,1643,4,5,10,4500000,-23.5974475,-46.703565
,Vila Sílvia,São Paulo,230,5,3,2,590000,-23.646663500000003,-46.851890642695935
Rua Manduri,Jardim Paulistano,São Paulo,400,4,3,3,6300000,-22.9299635,-47.0926326
Rua Paris,Sumaré,São Paulo,230,1,3,3,2200000,-22.8590014,-47.0359308
Rua Catalão,Sumaré,São Paulo,300,4,7,5,2500000,-21.1665714,-48.9695144
,Fazenda Morumbi,São Paulo,648,5,6,2,2300000,-21.2558479,-49.5231713
Rua Timburiba,Vila Mariana,São Paulo,280,5,4,5,3000000,-23.6005716,-46.6365354
,Jardim Guedala,São Paulo,523,4,5,7,3900000,-23.5873828,-46.71764795766417
Rua Managua,Jardim Everest,São Paulo,1000,5,8,7,10000000,-23.6457049,-46.4933445
"Rua Breves, 602 ",Chácara Monte Alegre,São Paulo,319,4,4,4,2100000,-23.6449434,-46.6798011
,Jardim Morumbi,São Paulo,450,6,3,7,2600000,-23.4674102,-47.4404657
Rua Manuel de Góis,Jardim Guedala,São Paulo,933,4,5,9,8500000,-23.5846767,-46.7004095
Rua Lino Coutinho,Ipiranga,São Paulo,181,2,3,1,480000,-23.5970946,-46.6019761
Rua Dom João V,Lapa,São Paulo,145,3,3,2,1175000,-23.8504778,-45.4092407
"Travessa Antônio Augusto Monteiro de Barros Neto, 60 ",Real Parque,São Paulo,106,2,1,2,600000,,
Rua Coronel Irlandino Sandoval,Jardim Paulistano,São Paulo,131,3,3,1,1850000,-23.5735358,-46.6918322
Alameda Uapixana,Indianópolis,São Paulo,385,4,4,9,2820000,-23.614508,-46.6573799
,Jardim Europa,São Paulo,665,3,7,8,14000000,-22.7252877,-47.3629074
Rua Manuel de Góis,Jardim Guedala,São Paulo,465,5,4,3,1800000,-23.5846767,-46.7004095
Rua Groenlândia,Jardim América,São Paulo,705,5,3,5,7500000,-23.5785612,-46.6687933
Rua Comandante Ismael Guilherme,Jardim Luzitânia,São Paulo,540,4,4,4,8300000,-23.5945148,-46.6592638
Rua Comendador Bichara Moherdauí,Jardim Leonor,São Paulo,640,5,8,4,3800000,-23.5953182,-46.7109273
Rua Açaraí,Jardim Guedala,São Paulo,694,6,4,8,4200000,-23.5828994,-46.7084438
Rua Boytac,Cidade Jardim,São Paulo,555,4,3,6,5300000,-23.5962037,-46.704055
Rua Doutor Carlos Norberto de Souza Aranha,Alto de Pinheiros,São Paulo,765,6,4,6,8500000,-23.5506722,-46.7049555
Rua Manduri,Jardim Paulistano,São Paulo,355,3,5,4,5800000,-22.9299635,-47.0926326
Rua Luiz Galhanone,Jardim Viana,São Paulo,305,4,4,3,2597000,,
Rua Eduardo de Magalhães,Parque Jabaquara,São Paulo,115,3,3,2,510000,-23.6346246,-46.656471
Rua Joaquim Cândido de Azevedo Marques,Vila Morumbi,São Paulo,500,4,6,4,2100000,-23.6131182,-46.7091076
Rua José de Freitas Guimarães,Pacaembu,São Paulo,405,3,4,4,2200000,-23.5439516,-46.6720029
Rua Luiz Galhanone,Jardim Viana,São Paulo,785,4,4,6,5000000,,
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,São Paulo,296,3,4,3,3900000,-23.5520036,-46.7081836
"Rua Doutor Fausto de Almeida Prado Penteado, 302 ",Jardim Sílvia (Zona Oeste),São Paulo,1648,4,5,10,4500000,-23.5974475,-46.703565
,Vila Sílvia,São Paulo,235,5,3,2,590000,-23.646663500000003,-46.851890642695935
Rua Manduri,Jardim Paulistano,São Paulo,405,4,3,3,6300000,-22.9299635,-47.0926326
Rua Paris,Sumaré,São Paulo,235,1,3,3,2200000,-22.8590014,-47.0359308
Rua Catalão,Sumaré,São Paulo,305,4,7,5,2500000,-21.1665714,-48.9695144
,Fazenda Morumbi,São Paulo,653,5,6,2,2300000,-21.2558479,-49.5231713
Rua Timburiba,Vila Mariana,São Paulo,285,5,4,5,3000000,-23.6005716,-46.6365354
,Jardim Guedala,São Paulo,528,4,5,7,3900000,-23.5873828,-46.71764795766417
Rua Managua,Jardim Everest,São Paulo,1005,5,8,7,10000000,-23.6457049,-46.4933445
"Rua Breves, 602 ",Chácara Monte Alegre,São Paulo,324,4,4,4,2100000,-23.6449434,-46.6798011
,Jardim Morumbi,São Paulo,455,6,3,7,2600000,-23.4674102,-47.4404657
Rua Manuel de Góis,Jardim Guedala,São Paulo,938,4,5,9,8500000,-23.5846767,-46.7004095
Rua Lino Coutinho,Ipiranga,São Paulo,186,2,3,1,480000,-23.5970946,-46.6019761
Rua Dom João V,Lapa,São Paulo,150,3,3,2,1175000,-23.8504778,-45.4092407
"Travessa Antônio Augusto Monteiro de Barros Neto, 60 ",Real Parque,São Paulo,111,2,1,2,600000,,
Rua Coronel Irlandino Sandoval,Jardim Paulistano,São Paulo,136,3,3,1,1850000,-23.5735358,-46.6918322
"Rua Jandiro Joaquim Pereira, 456 ",Jardim Leonor,São Paulo,242,3,3,4,1400000,-23.6028875,-46.7225416
Rua Inglaterra,Jardim Europa,São Paulo,314,3,1,3,5500000,-23.9862036,-46.3079175
"Rua Caropá, 652 ",Vila Madalena,São Paulo,192,3,3,2,1780000,-23.5477145,-46.7008856
Rua Doutor Tomás Alves,Vila Mariana,São Paulo,350,3,3,2,2500000,,
Rua Adamantina,Chácara Flora,São Paulo,771,4,4,6,8500000,-22.8766576,-47.0696399
Rua Sônia Ribeiro,Brooklin Paulista,São Paulo,600,4,5,4,4000000,-23.635579,-46.6771826
Rua Montevidéu,Bela Aliança,São Paulo,231,4,5,2,3000000,-23.5227026,-46.7241757
Rua Correia de Almeida,Jabaquara,São Paulo,240,3,3,3,990000,-23.6327096,-46.6489108
Rua Silveira Sampaio,Fazenda Morumbi,São Paulo,650,4,6,8,3800000,-23.6114449,-46.7195873
,Jardim Leonor,São Paulo,265,3,4,3,2200000,-23.6087105,-46.9300813
Rua Macau,Jardim Luzitânia,São Paulo,500,3,4,3,5400000,-23.2331979,-45.9069496
Rua Tombadouro,Chácara Flora,São Paulo,632,4,5,6,8000000,-23.6417774,-46.6814297
Rua Doutor Manoel Maria Tourinho,Pacaembu,São Paulo,380,3,4,3,2000000,-23.5437746,-46.6678304
Avenida Bagiru,Boaçava,São Paulo,471,4,5,4,2700000,-23.5445036,-46.719531
Rua Bacopari,Boaçava,São Paulo,386,4,5,7,4500000,-23.5392708,-46.724474
,Alto de Pinheiros,São Paulo,445,4,5,4,4200000,-23.5499064,-46.7076422
Largo Mestre de Aviz,Jardim Luzitânia,São Paulo,500,3,2,5,3850000,-23.5948028,-46.65464439571542
"Rua Afonso Bandeira de Melo, , 188 ",Campo Belo,São Paulo,110,2,2,2,1200000,-23.621026,-46.6654121
Rua Olímpio Catão,Pacaembu,São Paulo,390,4,5,5,3600000,-23.3025461,-45.9629282
Rua Catanduva,Pacaembu,São Paulo,230,3,4,5,3350000,-23.6929356,-46.5436029
Rua Antônio de Andrade Rebelo,Retiro Morumbi,São Paulo,574,4,5,6,3800000,-23.6177748,-46.7115323
,Pacaembu,São Paulo,468,4,5,3,2850000,-24.7505847,-53.7249498
Rua Manuel Ribeiro da Cruz,Chácara Santo Antônio (Zona Sul),São Paulo,375,4,6,3,3500000,-23.6366614,-46.7080911
,Vila Madalena,São Paulo,253,3,4,3,4400000,-23.5464956,-46.6911243
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,São Paulo,700,6,7,6,18000000,-23.5520036,-46.7081836
Praça Monteiro Lobato,Butantã,São Paulo,364,5,4,4,2400000,-20.820867,-49.37050449769295
Rua Bandim,Boaçava,São Paulo,350,11,8,10,2500000,-23.5375673,-46.7209489
,Alto de Pinheiros,São Paulo,384,4,5,4,4900000,-23.5499064,-46.7076422
,Bosque da Saúde,São Paulo,150,3,5,2,730000,-23.6094152,-46.6251697
Rua Carlos Rath,Alto de Pinheiros,São Paulo,395,4,5,4,3000000,-23.5600927,-46.7051433
,Jardim Guedala,São Paulo,670,4,4,6,2700000,-23.5873828,-46.71764795766417
Rua Pero Correia,Vila Mariana,São Paulo,320,6,4,8,1800000,-23.5852143,-46.6185221
Rua Doutor Cândido ESão Pauloinheira,Perdizes,São Paulo,200,2,3,1,1100000,,
,Vila Matilde,São Paulo,140,3,2,4,1150000,-23.536179,-46.524605
Rua Anunze,Boaçava,São Paulo,420,3,5,4,3800000,-23.5379141,-46.7238417
Rua França,Jardim Europa,São Paulo,952,3,7,10,22000000,-23.4366888,
Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,São Paulo,255,4,6,3,3700000,-23.5533842,-46.7041804
Rua Murajuba,Alto de Pinheiros,São Paulo,750,4,5,8,10000000,-23.5445747,-46.7121022
Rua Mateus Mendes Pereira,Jardim Nossa Senhora do Carmo,São Paulo,102,3,2,2,450000,-23.5660744,-46.4726414
Rua Alfredo Piragibe,Vila Madalena,São Paulo,464,5,7,3,2800000,-23.5485975,-46.6972748
Rua Itaquera,Pacaembu,São Paulo,930,5,5,9,12000000,-23.5496781,-46.6620225
Rua Inglaterra,Jardim Europa,São Paulo,340,3,5,2,6599000,-23.9862036,-46.3079175
,Cidade Jardim,São Paulo,500,4,2,5,3500000,-23.6150559,-45.3916312
Rua Murtinho Nobre,Butantã,São Paulo,1181,8,10,20,4300000,-23.5680651,-46.7073914
Rua Coronel Bento Noronha,Jardim Paulistano,São Paulo,330,3,5,2,5600000,-23.5705622,-46.6829008
,Jardim Leonor,São Paulo,450,4,6,6,3500000,-23.6087105,-46.9300813
"Rua Irmã Carolina, 544 ",Belenzinho,São Paulo,255,3,2,7,1395000,-23.538451043729903,-46.58401431736334
Rua Damião da Silva,Vila Suzana,São Paulo,290,3,4,6,1000000,-23.6072034,-46.7371029
Rua Aperca,Boaçava,São Paulo,944,5,6,6,8000000,-23.5405415,-46.7260404
Rua Carangola,Jardim Guedala,São Paulo,609,4,6,6,4000000,-21.169547,-48.9713943
,Vila Sílvia,São Paulo,62,2,5,1,245000,-23.646663500000003,-46.851890642695935
,Cidade Jardim,São Paulo,855,4,6,8,4000000,-23.6150559,-45.3916312
Rua José Guilherme Guimarães Pedroso,Vila Campo Grande,São Paulo,137,3,2,6,560000,-23.6850229,-46.6735387
,Jardim Europa,São Paulo,913,4,4,6,19000000,-22.7252877,-47.3629074
,Jardim Guedala,São Paulo,1000,4,7,8,18000000,-23.5873828,-46.71764795766417
Rua Barajuba,Alto de Pinheiros,São Paulo,309,4,4,6,5500000,-23.5564754,-46.7099126
,Cidade Jardim,São Paulo,550,4,3,6,5500000,-23.6150559,-45.3916312
,Jardim Cordeiro,São Paulo,605,3,6,6,2700000,-23.64780615,-46.78981661900375
Rua Levotti Grottera,Paineiras do Morumbi,São Paulo,800,4,5,9,9200000,-23.6035118,-46.708154
Rua Professor Filadelfo Azevedo,Vila Nova Conceição,São Paulo,540,3,6,4,8500000,-23.5909982,-46.6646098
Rua Corgie Assad Abdalla,Vila Sônia,São Paulo,291,4,1,4,1490000,,
Rua Euclídes de Andrade,Pompeia,São Paulo,80,2,2,2,990000,-23.5434484,-46.6916868
,Vila Matilde,São Paulo,145,3,2,4,1150000,-23.536179,-46.524605
Rua Anunze,Boaçava,São Paulo,425,3,5,4,3800000,-23.5379141,-46.7238417
Rua França,Jardim Europa,São Paulo,957,3,7,10,22000000,-23.4366888,-46.4634448
Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,São Paulo,260,4,6,3,3700000,-23.5533842,-46.7041804
Rua Murajuba,Alto de Pinheiros,São Paulo,755,4,5,8,10000000,-23.5445747,-46.7121022
Rua Mateus Mendes Pereira,Jardim Nossa Senhora do Carmo,São Paulo,107,3,2,2,450000,-23.5660744,-46.4726414
Rua Alfredo Piragibe,Vila Madalena,São Paulo,469,5,7,3,2800000,-23.5485975,-46.6972748
Rua Dona Balduína,Sumaré,São Paulo,450,4,4,5,3500000,-23.5472957,-46.6752057
Rua Itaquera,Pacaembu,São Paulo,935,5,5,9,12000000,-23.5496781,-46.6620225
Rua Inglaterra,Jardim Europa,São Paulo,345,3,5,2,6599000,-23.9862036,-46.3079175
,Cidade Jardim,São Paulo,505,4,2,5,3500000,-23.6150559,-45.3916312
Rua Murtinho Nobre,Butantã,São Paulo,1186,8,10,20,4300000,-23.5680651,-46.7073914
Rua Coronel Bento Noronha,Jardim Paulistano,São Paulo,335,3,5,2,5600000,-23.5705622,-46.6829008
,Jardim Leonor,São Paulo,455,4,6,6,3500000,-23.6087105,-46.9300813
"Rua Irmã Carolina, 544 ",Belenzinho,São Paulo,260,3,2,7,1395000,-23.538451043729903,-46.58401431736334
Rua Damião da Silva,Vila Suzana,São Paulo,295,3,4,6,1000000,-23.6072034,-46.7371029
Rua Aperca,Boaçava,São Paulo,949,5,6,6,8000000,-23.5405415,-46.7260404
Rua Carangola,Jardim Guedala,São Paulo,614,4,6,6,4000000,-21.169547,-48.9713943
,Vila Sílvia,São Paulo,67,2,5,1,245000,-23.646663500000003,-46.851890642695935
,Cidade Jardim,São Paulo,860,4,6,8,4000000,-23.6150559,-45.3916312
Rua Sepetiba,Vila Romana,São Paulo,226,3,3,2,1810000,-23.5402609,-46.698304
Rua José Guilherme Guimarães Pedroso,Vila Campo Grande,São Paulo,142,3,2,6,560000,-23.6850229,-46.6735387
,Jardim Europa,São Paulo,918,4,4,6,19000000,-22.7252877,-47.3629074
,Jardim Guedala,São Paulo,1005,4,7,8,18000000,-23.5873828,-46.71764795766417
Rua Barajuba,Alto de Pinheiros,São Paulo,314,4,4,6,5500000,-23.5564754,-46.7099126
,Cidade Jardim,São Paulo,555,4,3,6,5500000,-23.6150559,-45.3916312
,Jardim Cordeiro,São Paulo,610,3,6,6,2700000,-23.64780615,-46.78981661900375
Rua Levotti Grottera,Paineiras do Morumbi,São Paulo,805,4,5,9,9200000,-23.6035118,-46.708154
Rua Professor Filadelfo Azevedo,Vila Nova Conceição,São Paulo,545,3,6,4,8500000,-23.5909982,-46.6646098
Rua Corgie Assad Abdalla,Vila Sônia,São Paulo,296,4,1,4,1490000,,
Rua Euclídes de Andrade,Pompeia,São Paulo,85,2,2,2,990000,-23.5434484,-46.6916868
Rua Berlioz,Alto de Pinheiros,São Paulo,490,4,2,6,2800000,-23.5449133,-46.7162347
Avenida Piassanguaba,Planalto Paulista,São Paulo,1040,6,12,10,3000000,-23.6010973,-46.6540684
,Brooklin Paulista,São Paulo,243,3,3,3,1800000,-23.6294989,-46.6736894
,Jardim Morumbi,São Paulo,255,3,3,5,3000000,-23.4674102,-47.4404657
Rua Suécia,Jardim Europa,São Paulo,872,5,5,8,16900000,-22.593869,-47.3753747
,Jardim Leonor,São Paulo,600,4,6,6,5500000,-23.6087105,-46.9300813
"Avenida Manoel dos Reis Araújo, 50 ",Jardim Marajoara,São Paulo,450,3,4,6,2450000,-23.6533678,-46.6856018
Rua Sanharó,Jardim Guedala,São Paulo,900,5,8,10,5800000,-23.5834396,-46.7142098
Rua Jaguanambi,Cidade Jardim,São Paulo,457,5,4,3,2680000,-23.5897963,-46.6947024
Rua Laiana,Boaçava,São Paulo,360,4,6,5,5000000,-23.5405887,-46.7225471
Rua Armando Brussolo,Vila Romana,São Paulo,130,2,3,2,720000,-23.5335118,-46.6964548
Rua Juatuba,Sumarezinho,São Paulo,413,3,5,2,2950000,-23.5435808,-46.6954475
Rua Benedito Chaves,Jardim Paulistano,São Paulo,400,4,5,6,5000000,-23.572263,-46.688574
Rua Coronel Artur Godoi,Vila Mariana,São Paulo,240,3,3,3,4500000,-23.5849708,-46.6410989
Rua Visconde de Maranguape,Parque Colonial,São Paulo,200,3,2,2,2500000,-23.6221767,-46.669136
Avenida das Magnólias,Cidade Jardim,São Paulo,900,4,4,8,10000000,-23.593428,-46.6967587
,Jardim Paulista,São Paulo,480,4,4,4,7900000,-23.5652185,-46.6601846
,Jardim Guedala,São Paulo,590,4,5,5,2700000,-23.5873828,-46.71764795766417
,Vila Mariana,São Paulo,245,4,4,1,2660000,-23.5837,-46.632740824206934
,Jardim Celeste,São Paulo,170,3,3,1,390000,-23.4858554,-47.4929482
Rua Dom Leopoldo I,Alto da Lapa,São Paulo,330,4,2,3,1380000,-23.5388642,-46.7150822
,Alto de Pinheiros,São Paulo,492,3,4,6,4200000,-23.5499064,-46.7076422
Rua Maestro Chiaffarelli,Jardim Paulista,São Paulo,400,4,6,4,4900000,-23.5756181,-46.6654857
,Jardim América,São Paulo,293,3,3,4,4500000,-21.1926885,-47.8048742
Rua Cayowaá,Sumaré,São Paulo,300,4,3,2,2700000,-23.529514,-46.6778465
Rua Teresa,Quarta Parada,São Paulo,190,3,3,2,745000,-23.5526761,-46.5809248
"Rua Macau, 50 ",Jardim Luzitânia,São Paulo,361,4,6,5,4900000,-23.5966999,-46.6591673
"Rua Macarani, 79 ",Bosque da Saúde,São Paulo,176,2,3,1,750000,-23.6216146,-46.626739
,Vila Madalena,São Paulo,380,4,4,4,3600000,-23.5464956,-46.6911243
Rua Murtinho Nobre,Butantã,São Paulo,320,3,5,4,2239369,-23.5675864,-46.706357
Rua Mário de Melo,Pacaembu,São Paulo,420,4,2,5,3000000,-23.5493972,-46.6737531
,Jardim Leonor,São Paulo,973,7,10,6,6200000,-23.6087105,-46.9300813
,Jardim Everest,São Paulo,500,5,4,6,3700000,-22.1064918,-51.4304335
Rua Dom Henrique,Jardim Luzitânia,São Paulo,400,4,6,7,6000000,-23.5941415,-46.6560983
,Pinheiros,São Paulo,312,4,2,8,2862000,-23.567249,-46.7019515
Avenida Osvaldo Aranha,Cursino,São Paulo,672,4,1,8,3500000,-23.6137357,-46.6114698
Rua Manguatá,Cidade Monções,São Paulo,200,2,3,4,1450000,-23.6135011,-46.6893013
,Cidade Jardim,São Paulo,660,6,7,8,3950000,-23.6150559,-45.3916312
Rua Maria Carolina,Jardim Paulistano,São Paulo,436,5,4,4,9200000,-23.5706594,-46.6876326
Rua Filadelfo Aranha,Vila Madalena,São Paulo,483,4,4,2,7400000,-23.5468543,-46.7051183
Rua Apinajés,Sumaré,São Paulo,300,6,6,3,1595000,-23.536794,-46.6797118
Rua Baicuri,Boaçava,São Paulo,530,4,6,6,2550000,-23.5414065,-46.7221948
Rua Nelson Washington Pereira,Vila Santa Catarina,São Paulo,110,2,2,1,480000,-23.6470033,-46.6573718
Rua Alasca,Jardim América,São Paulo,652,5,6,8,20000000,-23.5722783,-46.6717257
Rua Timbuíba,Alto de Pinheiros,São Paulo,400,4,5,4,3300000,-23.5485461,-46.7083701
,Vila Comercial,São Paulo,281,4,3,6,745000,-23.2222801,-46.8831644
,Alto de Pinheiros,São Paulo,431,4,4,5,4200000,-23.5499064,-46.7076422
Rua Doutor Cândido ESão Pauloinheira,Perdizes,São Paulo,198,4,3,3,1100000,,
Rua Itatinga,Pacaembu,São Paulo,480,3,8,3,2800000,-23.5513768,-46.6690181
"Rua Doutor Queirós Guimarães, 216 ",Jardim Guedala,São Paulo,500,4,4,4,4300000,-23.5817474,-46.7093531
,Vila Madalena,São Paulo,180,3,4,2,2150000,-23.5464956,-46.6911243
Rua Capitão João Rosa da Cruz,Água Rasa,São Paulo,180,3,2,4,745000,-23.5544791,-46.5812494
"Rua Bela Flor, 233 ",Vila Mariana,São Paulo,235,3,4,3,1450000,-21.1215002,-48.9519343
Rua Anatólia,Boaçava,São Paulo,412,4,6,6,6000000,-23.5393667,-46.726518
,Jardim América,São Paulo,400,3,4,6,5300000,-21.1926885,-47.8048742
,Jardim Leonor,São Paulo,500,3,5,7,1700000,-23.6087105,-46.9300813
"Rua Cônego Luís Gonzaga Biazi, 144 ",Carandiru,São Paulo,382,2,6,6,990000,-23.5023385,-46.6097314
Rua Rodrigues de Campos Leite,Vila Ipojuca,São Paulo,138,3,3,2,950000,-23.5374832,-46.7026883
Rua Pirapó,Jardim Guedala,São Paulo,572,4,5,8,2500000,-23.5843359,-46.7108036
Rua Carlos Chagas,Aclimação,São Paulo,280,3,2,2,2200000,-22.9068168,-47.112663
Alameda dos Piratinins,Planalto Paulista,São Paulo,250,5,4,5,1190000,-23.6203651,-46.6527158
Praça João Francisco Lisboa,Vila Madalena,São Paulo,455,4,6,4,4500000,-23.553808099999998,-46.69405183690257
,Jardim Guedala,São Paulo,595,5,7,5,6000000,-23.5873828,-46.71764795766417
Rua Heitor de Andrade,Sumarezinho,São Paulo,349,4,5,4,4260000,-23.2308984,-45.9268721
Rua Doutor Augusto de Miranda,Vila Pompéia,São Paulo,240,3,2,2,1490000,-23.5274931,-46.6871543
Rua Derval,Vila Mascote,São Paulo,200,4,2,2,950000,-23.6442777,-46.6692345
,Vila Monumento,São Paulo,750,10,8,8,3500000,-23.5764219,-46.6137805
Rua Catanumi,Interlagos,São Paulo,300,3,3,4,1050000,-23.7011407,-46.706962
Rua das Malvas,Cidade Jardim,São Paulo,750,4,7,2,6000000,-23.1880666,-47.2805081
,Vila Gea,São Paulo,200,4,4,3,720000,-23.6741496,-46.6875771
"Rua Magalhães de Araújo, 84 ",Jardim Guedala,São Paulo,650,4,5,4,3500000,-23.5856092,-46.7094975
,Jardim Cordeiro,São Paulo,760,4,6,9,4990000,-23.64780615,-46.78981661900375
Rua Principado de Mônaco,Pacaembu,São Paulo,288,2,3,2,2450000,-23.2326037,-45.8952956
Rua Baré,Vila Romana,São Paulo,236,3,4,4,3500000,-23.5364272,-46.6977939
Rua Martinho Vaz de Barros,Vila Pirajussara,São Paulo,240,3,3,4,890000,-23.6351961,-46.7743903
Rua dos Tamanás,Vila Madalena,São Paulo,519,4,3,3,2490000,-23.5581602,-46.695769
,Cidade Jardim,São Paulo,625,4,4,6,3000000,-23.6150559,-45.3916312
Rua Doutor José Higino,Vila Oratório,São Paulo,300,5,3,7,950000,-23.5680397,-46.579929
,Alto de Pinheiros,São Paulo,350,5,4,6,2900000,-23.5499064,-46.7076422
Rua Doutor João Maia,Aclimação,São Paulo,380,3,5,2,2660000,-23.5753648,-46.632434
,Jardim Guedala,São Paulo,490,4,6,5,3700000,-23.5873828,-46.71764795766417
Rua Ernesto Nazaré,Alto de Pinheiros,São Paulo,400,4,3,4,3500000,-23.5551066,-46.7051473
,Jardim Guedala,São Paulo,890,5,7,10,4700000,-23.5873828,-46.71764795766417
Avenida Doutor Alberto Penteado,Jardim Sílvia (Zona Oeste),São Paulo,700,5,7,6,5500000,-23.5989317,-46.704235
,Jardim Guedala,São Paulo,450,4,4,6,2500000,-23.5873828,-46.71764795766417
Rua Belini,Alto de Pinheiros,São Paulo,684,4,7,10,8550000,-23.5459864,-46.7137782
Rua Ernesto Nazaré,Alto de Pinheiros,São Paulo,461,4,5,5,5000000,-23.5551066,-46.7072446
"Rua Doutor Augusto de Miranda, 69 ",Vila Pompéia,São Paulo,264,2,1,5,2130000,-23.52447156571468,-46.68613518306425
,Alto de Pinheiros,São Paulo,380,4,5,4,2800000,-23.5499064,-46.7076422
,Vila Madalena,São Paulo,381,4,2,5,2900000,-23.5464956,-46.6911243
Rua Ferreira de Almeida,Jardim das Laranjeiras,São Paulo,245,3,3,5,1580000,-23.5086679,-46.6668025
,Vila Lageado,São Paulo,78,2,2,1,530000,-23.525392,-47.4473527
Avenida das Magnólias,Cidade Jardim,São Paulo,600,4,5,4,6920000,-23.593428,-46.6967587
Rua Grumete Sandoval Santos,Morumbi,São Paulo,430,4,4,3,2500000,-23.6064813,-46.7144744
Avenida Antônio Batuira,Alto de Pinheiros,São Paulo,461,4,6,6,2650000,-23.5572245,-46.7071688
Rua Alberto Faria,Alto de Pinheiros,São Paulo,285,4,3,4,3500000,-23.5479067,-46.7126638
,Morumbi,São Paulo,650,3,3,5,3995000,-23.5964988,-46.7178446
Rua Natingui,Vila Madalena,São Paulo,280,4,4,6,2000000,-23.5576427,-46.6984995
Rua Bernardino de Campos,Campo Belo,São Paulo,320,3,4,2,1740000,-23.6723793,-46.4777456
Avenida Albert Einstein,Jardim Leonor,São Paulo,420,3,5,4,2700000,-23.5950653,-46.7168507
Avenida Antônio Batuira,Alto de Pinheiros,São Paulo,466,4,6,6,2650000,-23.5572245,-46.7071688
Rua Alberto Faria,Alto de Pinheiros,São Paulo,290,4,3,4,3500000,-23.5479067,-46.7126638
,Morumbi,São Paulo,655,3,3,5,3995000,-23.5964988,-46.7178446
Rua Natingui,Vila Madalena,São Paulo,285,4,4,6,2000000,-23.5576427,-46.6984995
Rua Bernardino de Campos,Campo Belo,São Paulo,325,3,4,2,1740000,-23.6723793,-46.4777456
Avenida Albert Einstein,Jardim Leonor,São Paulo,425,3,5,4,2700000,-23.5950653,-46.7168507
"Rua Wanderley, 611 ",Perdizes,São Paulo,248,4,4,4,2300000,-23.541286406725398,-46.673265242377816
Rua Oscar Caravelas,Sumarezinho,São Paulo,260,3,4,4,1800000,-23.5436262,-46.6944189
Rua Roger Zmekhol,Jardim Colombo,São Paulo,170,3,2,2,870000,-23.6036236,-46.7274044
,Vila Perus,São Paulo,101,3,1,3,400000,-23.4021396,-46.724262
,Jardim Satélite,São Paulo,126,3,3,2,450000,-22.1386711,-51.4165883
