Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
,Chácara Santo Antônio (Zona Sul),São Paulo,190,2,2,2,1100000,-23.6277608,-46.7054657
,Jardim Guedala,São Paulo,650,4,6,4,5500000,-23.5873828,-46.71764795766417
Rua Salvador Fontoura,Parque Boturussu,São Paulo,210,3,2,6,250000,-23.496014,-46.4891658
,Vila Arriete,São Paulo,200,4,3,2,775000,-23.6821499,-46.6824429
Rua Inglaterra,Jardim Europa,São Paulo,200,3,3,2,13000,-23.9862036,-46.3079175
Rua Peribebuí,Alto da Lapa,São Paulo,440,4,6,7,2200000,-23.5266229,-46.7221713
"Avenida João XXIII, 925 ",Vila Formosa,São Paulo,225,2,2,2,780000,-23.5129094,-46.16165
Rua Taiaçupeba,Quinta da Paineira,São Paulo,350,3,5,6,980000,-23.5839747,-46.5872304
"Rua Coronel Virgílio dos Santos, 271 ",Vila Jaguara,São Paulo,220,3,3,2,750000,-23.5110365,-46.7501655
"Rua da Paz, 89 ",Alto da Boa Vista,São Paulo,386,4,4,5,1680000,-23.7246183,-46.5249069
"Rua Major Alfredo Romão, 92 ",Vila Clarice,São Paulo,99,3,2,2,650000,-23.4715144,-46.7511982
Rua Bolívia,Jardim América,São Paulo,663,4,7,6,14500000,-20.5497802,-47.4075383
Rua General Fonseca Teles,Jardim Paulista,São Paulo,420,4,6,3,8700000,-23.5781267,-46.6679943
"Rua Pataíba, 89 ",Tucuruvi,São Paulo,211,3,3,3,1237000,-23.4749193,-46.6108395
"Rua Doutor Milton de Souza Meirelles, 364 ",Parque Continental,São Paulo,180,3,4,4,950000,-23.5384196,-46.7567291
"Avenida Amador Bueno da Veiga, 3272 ",Penha de França,São Paulo,150,4,1,5,510000,-23.5231599,-46.5440492
Rua Maria Tereza Farabulini Rodrigues,Parque Continental,São Paulo,200,3,5,3,1500000,-23.5464442,-46.759108
Rua Doutor Franco da Rocha,Perdizes,São Paulo,452,4,6,2,4240000,-23.5333798,-46.6706001
Rua Caetano Braga,Conjunto Residencial José Bonifácio,São Paulo,129,3,2,2,490000,-23.5346216,-46.4405245
Rua Francisco de Paula Brito,Planalto Paulista,São Paulo,250,3,4,4,2190000,-23.6258752,-46.6516802
Rua dos Comerciários,Cidade Vargas,São Paulo,250,3,3,5,2180000,-23.6472517,-46.6398686
Rua Francisco Correia Dutra,Jardim Maria Luiza,São Paulo,152,2,3,2,398000,-23.5833445,-46.7555646
Rua Joaquim de Almeida,Mirandópolis,São Paulo,192,4,2,2,950000,-23.6063516,-46.6458678
Rua Elisa Rodrigues,Planalto Paulista,São Paulo,184,4,3,4,1390000,-23.6049592,-46.6503491
Rua José Sebastião de Sá,Jardim do Carmo,São Paulo,100,2,2,1,530000,-23.6648743,-46.6801277
Rua Amandaba,Jardim Prudência,São Paulo,253,4,4,2,1280000,-23.6538171,-46.6724506
"Rua Cordisburgo, 251 ",Jardim Leonor,São Paulo,850,4,8,6,6500000,-23.5948871,-46.7133468
"Rua Carlos Rath, 103 ",Alto de Pinheiros,São Paulo,400,5,4,4,2900000,-23.5600927,-46.7051433
,Alto de Pinheiros,São Paulo,358,4,4,4,3500000,-23.5499064,-46.7076422
Rua Luís Ramos Figueira,Vila Suzana,São Paulo,140,3,4,2,775000,-23.6084315,-46.7379998
Rua dos Aliados,Alto da Lapa,São Paulo,500,5,7,7,3500000,-21.1481271,-47.8048183
,Planalto Paulista,São Paulo,119,2,2,2,670000,-22.3302088,-52.2244637
,Jardim Guedala,São Paulo,650,4,7,4,3500000,-23.5873828,-46.71764795766417
Rua Doutor Nicolau ASão Paulorino Júnior,Vila Brasílio Machado,São Paulo,250,3,3,3,1500000,,
"Rua José Barbosa, 186 ",Jardim das Vertentes,São Paulo,84,3,3,2,470000,-20.5147017,-47.3514135
Rua Iagari,Alto da Lapa,São Paulo,243,3,5,3,2400000,-23.5279816,-46.7215785
"Rua Júlio Rua Perez, 16 ",Campo Belo,São Paulo,145,4,3,2,1350000,-23.6237925,-46.6714575
"Rua Marechal Barbacena, 1392 ",Vila Regente Feijó,São Paulo,150,3,2,2,800000,-23.5538315,-46.5774135
"Rua Plínio Mota, 59 ",Vila Tolstoi,São Paulo,240,3,3,7,890000,-23.5984446,-46.5282509
"Rua Belarmino Cardoso de Andrade, 151 ",Terceira Divisão de Interlagos,São Paulo,167,3,4,2,630000,-23.7133348,-46.6930955
Rua Camberra,Vila Formosa,São Paulo,256,4,3,1,1063830,-23.5651078,-46.555549
,Vila Moinho Velho,São Paulo,220,4,3,2,750000,-23.6150802,-46.600522
Rua Marechal Bitencourt,Jardim Paulista,São Paulo,360,4,5,4,1800000,-22.2988175,-48.5591327
,Jardim Guedala,São Paulo,354,4,6,4,2950000,-23.5873828,-46.71764795766417
Rua Pero Correia,Vila Mariana,São Paulo,250,3,3,1,1350000,-23.5852143,-46.6185221
Avenida Ouro Verde de Minas,Jardim Imperador (Zona Leste),São Paulo,186,3,3,2,750000,-23.5875507,-46.496936
Rua Inglaterra,Jardim Europa,São Paulo,756,5,4,10,37000000,-23.9862036,-46.3079175
"Avenida Ibiúna, 736 ",Vila Aricanduva,São Paulo,500,4,3,4,1200000,-23.5382621,-46.539364
,Brooklin Paulista,São Paulo,400,5,6,4,2500000,-23.6294989,-46.6736894
,Sumaré,São Paulo,627,3,6,6,4950000,-22.8217964,-47.267105
Rua Coronel Octávio Azeredo,Vila Mazzei,São Paulo,80,3,1,2,420000,,
"Rua Drosera, 120 ",Pirituba,São Paulo,190,3,2,4,920000,-23.4813293,-46.725516
,Jardim Paulista,São Paulo,1060,5,5,4,30000000,-23.5652185,-46.6601846
Rua Timbó,Mooca,São Paulo,170,3,2,2,940000,-23.5513666,-46.6067597
"Rua Prudentópolis, 97 ",Boaçava,São Paulo,1192,4,3,6,6200000,-23.5401173,-46.7259854
,Vila Gustavo,São Paulo,200,4,3,1,550000,-23.480713,-46.5958215
Rua José Clemente,Jardim Paulista,São Paulo,724,4,6,3,8000000,-23.5763615,-46.6606481
"Rua Araripe, 145 ",Vila Califórnia,São Paulo,300,6,3,2,430000,-23.6091432,-46.5565178
"Rua Lavras do Sul, 206 ",Vila Carolina,São Paulo,120,4,3,2,650000,-23.4969549,-46.6811067
Rua Marco Aurélio,Vila Romana,São Paulo,160,3,4,2,940000,-23.5325302,-46.6991011
Alameda dos Guainumbis,Planalto Paulista,São Paulo,200,4,6,3,2014000,-23.6121782,-46.6451865
"Avenida Júlio Buono, 578 ",Vila Gustavo,São Paulo,217,5,3,2,670000,-23.49339047265917,-46.59766349793783
Rua Monsenhor Moura,Vila Leopoldina,São Paulo,167,2,2,2,820000,-23.5204301,-46.7253132
Rua dos Tamanás,Vila Madalena,São Paulo,440,4,5,4,3950000,-23.5581602,-46.695769
Praça Doutor Carvalho Franco,Vila Mariana,São Paulo,250,3,5,2,2450000,-23.58943265,-46.6450461045747
Rua Maria Ramos,Vila São Paulo,São Paulo,250,5,6,2,486000,-23.6579217,-46.6705544
"Rua Kansas, 1326 ",Brooklin Paulista,São Paulo,70,2,4,2,800000,-23.2462148,-46.5615223
Rua Engenheiro Dolabela,Jardim Bandeirantes (Zona Norte),São Paulo,455,4,5,3,680000,,
"Rua Francisco Bellazzi, 120 ",Jardim Jaraguá,São Paulo,80,2,1,1,245000,,
"Rua Gonçalo Pires, 304 ",Vila Morse,São Paulo,125,3,3,1,610000,-23.5964609,-46.7275615
Rua Cautaros,Itaquera,São Paulo,185,3,5,5,460000,-23.5503964,-46.4432679
"Avenida Avelino Paranho, 119 ",Vila Talarico,São Paulo,250,5,3,5,850000,,
"Rua Manoel João Pereira, 80 ",Vila Matilde,São Paulo,131,3,2,2,540000,-23.5377037,-46.5190857
